name,tempo
The Mediterranean Breeze-Okan Ersan.mp4,150
Sirens-Rag'n'Bone Man.mp4,160
Since I've Been Loving You - Remaster-Led Zeppelin.mp4,120
Battle Against Time-Wintersun.mp4,112
Sacral Nirvana-Oliver Shanti & Friends.mp4,95
Leave My Home-FKJ.mp4,79
Lateralus-TOOL.mp4,116
Burn Away-Nathan Gray.mp4,145
Atoma-Dark Tranquillity.mp4,150
Baby-Four Tet.mp4,127
Angel-Sarah McLachlan.mp4,77
Live Forever - Remastered-Oasis.mp4,181
Time-Pink Floyd.mp4,135
The Man-Patto.mp4,73
Dust-Hans Zimmer.mp4,94
Then Came the Last Days of May-Blue Öyster Cult.mp4,151
Iridescent-Linkin Park.mp4,120
Faded-Alan Walker.mp4,180
Burn the Witch-Radiohead.mp4,148
"Close to the Edge (i. The Solid Time of Change, ii. Total Mass Retain, iii. I Get up I Get Down, iv. Seasons of Man) - 2003 Remaster-Yes.mp4",174
Answer-ATEEZ.mp4,98
Los toros en la Wii - Fantástico-Love of Lesbian.mp4,103
L'agriculteur-Ridan.mp4,131
Train in Vain (Stand by Me) - Remastered-The Clash.mp4,123
Arkadaş-Melike Demirağ.mp4,48
Fine Line-Harry Styles.mp4,121
Jigsaw Falling Into Place-Radiohead.mp4,164
Perfect Duet (Ed Sheeran & Beyoncé)-Ed Sheeran.mp4,191
A Midnight Autumn's Dream-Labyrinth.mp4,130
ANKOKUBUTOUKAI-Dragon Guardian.mp4,131
Teardrops-Bring Me The Horizon.mp4,96
Counting Stars (Originally Performed by One Republic) [Karaoke Version]-Un Plugged Nation.mp4,122
Scene Seven: I. The Dance of Eternity-Dream Theater.mp4,121
Alison-Slowdive.mp4,101
Summer 78 (1)-Yann Tiersen.mp4,108
Bittersweet-Within Temptation.mp4,107
From the Inside-Linkin Park.mp4,127
Nebijok - Aš Su Tavim-Džordana Butkutė.mp4,89
Suicidal Thoughts-Josh A.mp4,70
"Tchaikovsky Canzonetta, del Concierto para violín op. 35-Pyotr Ilyich Tchaikovsky.mp4",63
Stairway to Heaven - Remaster-Led Zeppelin.mp4,96
Fields & Fences-Yellowcard.mp4,110
Daughter - Remastered-Pearl Jam.mp4,97
Wuthering Heights-Kate Bush.mp4,125
感同身受-Yoga Lin.mp4,83
Yol Arkadaşım-Sezen Aksu.mp4,157
I'm So Excited-The Pointer Sisters.mp4,184
Meravigliosa creatura-Gianna Nannini.mp4,67
Shona-Jake Chudnow.mp4,128
Otras Dos-Selecta.mp4,100
"Symphony No. 1 in D Minor, ""The Gothic"": Part 1: I Allegro assai: section 1-Havergal Brian.mp4",123
The Decline-NOFX.mp4,200
Ropa Cara-Camilo.mp4,170
Gingerbread Coffin-Rasputina.mp4,160
El Lugar-Alejandro Balbis.mp4,120
Car Radio-Twenty One Pilots.mp4,130
Le Ciel N'a Pas Mémoire-Stéphane Horeczko.mp4,100
El Triste-José José.mp4,150
Blessed With A Curse-Bring Me The Horizon.mp4,130
Morningstar-Baroness.mp4,118
I'll Be Missing You (feat. 112) - Instrumental-P. Diddy & Faith Evans (Featuring 112).mp4,110
Geceler Yangın (Virane)-Kıvırcık Ali Özütemiz.mp4,107
Never Gonna Love Again-Lykke Li.mp4,73
"The Four Seasons, Violin Concerto in E Major, RV 269 ""La primavera"": II. Largo-Antonio Vivaldi.mp4",84
Hallelujah-Leonard Cohen.mp4,170
Кувшин-Мельница.mp4,94
Space Dementia-Muse.mp4,85
Supermassive Black Hole-Muse.mp4,120
Smack My Bitch Up-The Prodigy.mp4,136
The Chain - 2004 Remaster-Fleetwood Mac.mp4,151
Päästä varpaisiin-BEHM.mp4,90
All About Your Heart-Mindy Gledhill.mp4,94
Elle viendra quand même-Orelsan.mp4,89
Wings-Birdy.mp4,83
Clocks-Coldplay.mp4,131
The Necromancer-Carach Angren.mp4,100
El Mañana-Gorillaz.mp4,132
Stomp Me Out-Bryce Fox.mp4,150
Au pays des sapins géants-Les Cowboys Fringants.mp4,136
Marquee Moon-Television.mp4,123
Innocence-Nathan Wagner.mp4,77
Королевна-Мельница.mp4,90
Nights Like This (feat. Ty Dolla $ign)-Kehlani.mp4,146
Forsaker-Katatonia.mp4,140
Freedom! '90 - Remastered-George Michael.mp4,92
"Goldberg Variations, BWV 988: Aria-Johann Sebastian Bach.mp4",94
Der Letzte Marsch-Ellende.mp4,110
Perfect-Ed Sheeran.mp4,63
Keinu-Cheek.mp4,138
Another Love-Tom Odell.mp4,123
25-The Pretty Reckless.mp4,77
Trouble’s Coming-Royal Blood.mp4,112
Time-Hans Zimmer.mp4,125
Phobia-Nothing But Thieves.mp4,148
